config_id,strategy,ema_window,signal_window,signal_level,atr_window,sl_atr,rr,direction,trades,winrate,avg_win_r,avg_loss_r,expectancy_r,profit_factor_r,total_r,max_drawdown_r,target_hit
C0040,donchian_breakout,50,96,0.0,14,1.25,2.0,long,1053,0.38271604938271603,1.8298460828436078,-1.3390009905144764,-0.12623235750088863,0.8472768723846372,-132.92267244843572,154.14239259592628,False
C0094,donchian_breakout,100,96,0.0,14,1.25,2.0,long,1053,0.38271604938271603,1.8298460828436078,-1.3390009905144764,-0.12623235750088863,0.8472768723846372,-132.92267244843572,154.14239259592628,False
C0162,donchian_breakout,200,96,0.0,14,1.75,2.5,both,1590,0.3012578616352201,2.354055414071049,-1.2023452640287957,-0.13095160062638964,0.8441292304703336,-208.21304499595954,222.51805593798628,False
C0159,donchian_breakout,200,96,0.0,14,1.75,2.0,both,1712,0.348714953271028,1.8652833091147736,-1.2024238205186546,-0.1326684721593341,0.8305899972642723,-227.12842433678,238.4129503678434,False
C0054,donchian_breakout,50,96,0.0,14,1.75,2.5,both,1618,0.3009888751545117,2.3520954745501563,-1.2026207643116082,-0.13269072208312932,0.8421561113198639,-214.69358833050325,237.67786530312532,False
C0108,donchian_breakout,100,96,0.0,14,1.75,2.5,both,1618,0.3009888751545117,2.3520954745501563,-1.2026207643116082,-0.13269072208312932,0.8421561113198639,-214.69358833050325,237.67786530312532,False
C0212,rsi_pullback,100,7,20.0,14,1.25,1.5,short,71,0.4788732394366197,1.2379886528997512,-1.3924340942718876,-0.13279503224603248,0.8169946421423933,-9.428447289468306,22.073230869781526,False
C0051,donchian_breakout,50,96,0.0,14,1.75,2.0,both,1741,0.34865020103388855,1.8636182690386762,-1.2028331055672448,-0.13371421735024652,0.8293297083762009,-232.7964524067792,252.63711005723584,False
C0105,donchian_breakout,100,96,0.0,14,1.75,2.0,both,1741,0.34865020103388855,1.8636182690386762,-1.2028331055672448,-0.13371421735024652,0.8293297083762009,-232.7964524067792,252.63711005723584,False
C0141,donchian_breakout,200,48,0.0,14,1.75,2.0,both,2417,0.3520893669838643,1.8366681555245827,-1.2149573993526788,-0.14051248946416012,0.821499773871988,-339.618687034875,345.9970883270614,False
C0156,donchian_breakout,200,96,0.0,14,1.75,1.5,both,1866,0.41103965702036444,1.3787685458346395,-1.2043876164010345,-0.1426079934456422,0.7989558063445459,-266.1065157695684,273.4961130872362,False
C0222,rsi_pullback,100,7,20.0,14,1.75,2.5,short,71,0.30985915492957744,2.301891948957285,-1.240961069112679,-0.14317562689381683,0.8328242790356752,-10.165469509460994,19.879023675739205,False
C0182,rsi_pullback,50,7,30.0,14,1.75,1.5,short,261,0.421455938697318,1.3028953603338702,-1.197016631828112,-0.1434138765108012,0.7929121828427397,-37.431021769319116,43.067373554296125,False
C0048,donchian_breakout,50,96,0.0,14,1.75,1.5,both,1898,0.410958904109589,1.3774208914238728,-1.2048433048752514,-0.14363884064273455,0.7976068885551479,-272.6265195399102,284.507822760391,False
C0102,donchian_breakout,100,96,0.0,14,1.75,1.5,both,1898,0.410958904109589,1.3774208914238728,-1.2048433048752514,-0.14363884064273455,0.7976068885551479,-272.6265195399102,284.507822760391,False
C0234,rsi_pullback,100,7,30.0,14,1.75,2.5,short,522,0.3007662835249042,2.301177452673111,-1.1962469478512674,-0.14433960899623416,0.8274391305369017,-75.34527589603422,75.34527589603425,False
C0144,donchian_breakout,200,48,0.0,14,1.75,2.5,both,2235,0.3011185682326622,2.331883971528071,-1.21460270531069,-0.1466897149247901,0.82719276616668,-327.85151285690586,334.7205132634564,False
C0214,rsi_pullback,100,7,20.0,14,1.25,2.0,short,71,0.39436619718309857,1.728610049172891,-1.368144855961333,-0.14688940041544182,0.8227246835325428,-10.42914742949637,20.038288532382666,False
