config_id,family,direction,params_json,train_trades,train_expectancy_r,validation_trades,validation_expectancy_r,validation_winrate,validation_avg_win_r,validation_avg_loss_r,validation_profit_factor_r,validation_max_drawdown_r,validation_cost_r_per_trade,fold_id,train_start,train_end,validation_start,validation_end
66d66a4af706d8,atr_expansion_breakout,long,"{""atr_mean_window"": 48, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 1.75, ""weekday_filter"": ""weekdays""}",167,0.2971399610331485,25,-0.7744011083651244,0.12,2.359262941229018,-1.2017189333097802,0.2677145752525348,19.36002770912811,0.15249645041586304,F02,2021-01-01 00:00:00+00:00,2024-10-25 08:30:00+00:00,2024-10-25 08:30:00+00:00,2025-04-25 08:30:00+00:00
99a721e5b120ae,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 1.75}",220,0.2894558277927327,35,-0.16671842383283533,0.2857142857142857,2.3216470125579827,-1.1620645983891627,0.7991455950990046,12.928246768367664,0.16002095036208375,F02,2021-01-01 00:00:00+00:00,2024-10-25 08:30:00+00:00,2024-10-25 08:30:00+00:00,2025-04-25 08:30:00+00:00
c863b439a98aa9,atr_expansion_breakout,long,"{""atr_mean_window"": 48, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.0, ""sl_atr"": 2.25, ""weekday_filter"": ""weekdays""}",161,0.28824577611249164,25,-0.6533873136603308,0.16,1.8829019064371388,-1.136490022250325,0.31557512618399947,16.334682841508272,0.11860835032344905,F02,2021-01-01 00:00:00+00:00,2024-10-25 08:30:00+00:00,2024-10-25 08:30:00+00:00,2025-04-25 08:30:00+00:00
7db4b0aa60e888,atr_expansion_breakout,long,"{""atr_mean_window"": 230, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 2.25}",198,0.2860996654165442,30,-0.30599184781692945,0.23333333333333334,2.374223357538828,-1.12170951901216,0.6441861330981394,16.50204198626482,0.12059342313971885,F02,2021-01-01 00:00:00+00:00,2024-10-25 08:30:00+00:00,2024-10-25 08:30:00+00:00,2025-04-25 08:30:00+00:00
0c55c7bf7ab559,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.75, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 2.25}",121,0.28558901412758586,21,-0.46154622664471223,0.19047619047619047,2.385989113364157,-1.1315545419409168,0.49613976378155095,14.481416395114412,0.11747910010013841,F02,2021-01-01 00:00:00+00:00,2024-10-25 08:30:00+00:00,2024-10-25 08:30:00+00:00,2025-04-25 08:30:00+00:00
836ff872e09519,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 1.25}",239,0.28228692629217567,40,-0.18306597763537275,0.3,2.3295428339266846,-1.259898325447683,0.7924254521884042,22.079964347993965,0.23530204266530436,F02,2021-01-01 00:00:00+00:00,2024-10-25 08:30:00+00:00,2024-10-25 08:30:00+00:00,2025-04-25 08:30:00+00:00
431935ee5b8306,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 77, ""rr"": 2.5, ""sl_atr"": 1.75}",226,0.281344324053564,38,-0.14847212600655818,0.2894736842105263,2.330408183091399,-1.1583863260094298,0.8196104656595756,12.73504272246764,0.15679724556157404,F02,2021-01-01 00:00:00+00:00,2024-10-25 08:30:00+00:00,2024-10-25 08:30:00+00:00,2025-04-25 08:30:00+00:00
863aeec0f5af83,atr_expansion_breakout,long,"{""atr_mean_window"": 48, ""atr_window"": 17, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.0, ""sl_atr"": 2.25}",162,0.25874445697005793,22,-0.29441881230046124,0.2727272727272727,1.8443915900401742,-1.0964727131781995,0.6307925750931646,6.756209501502941,0.13153119962495793,F02,2021-01-01 00:00:00+00:00,2024-10-25 08:30:00+00:00,2024-10-25 08:30:00+00:00,2025-04-25 08:30:00+00:00
f3fe1c15720248,atr_expansion_breakout,long,"{""atr_mean_window"": 48, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 2.25, ""weekday_filter"": ""mon_thu""}",121,0.24832045665857852,19,-1.1096518453837176,0.0,,-1.1096518453837176,0.0,21.08338506229064,0.11528042412386297,F02,2021-01-01 00:00:00+00:00,2024-10-25 08:30:00+00:00,2024-10-25 08:30:00+00:00,2025-04-25 08:30:00+00:00
cf6e6f8b442621,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.25, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 2.25}",323,0.2412928361798641,49,-0.19435956638332358,0.2653061224489796,2.3391733660018486,-1.109246458633525,0.7615092991317988,20.277665848916094,0.13826829286254044,F02,2021-01-01 00:00:00+00:00,2024-10-25 08:30:00+00:00,2024-10-25 08:30:00+00:00,2025-04-25 08:30:00+00:00
